Japanese,Vietnamese,English
時間,thời gian,time
年,Năm,Year
事,trường hợp,case
道,cách,the way
日,Ngày,Day
男,Người đàn ông,Man
状態,tình huống,situation
たくさん,nhiều ,a lot
女,đàn bà,woman
国,Quốc gia,Country
生活,mạng sống,life
質問,câu hỏi,question
社長,chủ tịch,president
子供,đứa trẻ,child
1週間,1 tuần,1 week
世界,thế giới,world
種類,loại,kinds
ケース,Trường hợp,Case
問題,vấn đề,problem
事実,sự thật,fact
家族,gia đình,family
ストーリー,câu chuyện,story
ポイント,điểm,point
政府,chính phủ,government
お金,tiền bạc,money
問題,vấn đề,problem
一部,phần,part
朝,buổi sáng,morning
男,Người đàn ông,Man
数,con số,number
仕事,công việc,work
夜,đêm,night
右,Phải,right
学校,trường học,school
場所,địa điểm,place
戦争,chiến tranh,war
キッド,Đứa trẻ,Kid
月,Tháng,Month
ブック,sách,book
1時間,Một giờ,One hour
ショー,trình diễn,show
警察,cảnh sát,police
プログラム,chương trình,program
パーティー,buổi tiệc,party
法律,pháp luật,law
単語,từ,word
人,Người đàn ông,Man
ホーム,trang chủ,home
ビジネス,việc kinh doanh,business
友人,bạn,friend
会社,công ty,company
サイド,bên,side
税,Thuế,Tax
民主党,Đảng Dân chủ,Democratic Party
グループ,nhóm,group
瞬間,chốc lát,moment
ブレーク,phá vỡ,break
アイデア,ý tưởng,idea
メンバー,thành viên,member
システム,hệ thống,system
分,Phần,Part
理由,lý do,reason
キャンペーン,chiến dịch,campaign
仕事,công việc,work
国家,Quốc gia,Nation
議会,Nghị viện,Parliament
母親,mẹ,mother
力,Quyền lực,Power
健康,sức khỏe,health
バック,mặt sau,back
エリア,khu vực,area
名前,tên,name
レポート,Báo cáo,Report
手,tay,hand
ライン,đường kẻ,line
終わり,kết thúc,end
裁判所,tòa án,court
介護,Điều dưỡng,nursing
カップル,Cặp đôi,Couple
家,Căn nhà,House
アメリカン,Người Mỹ,American
父,bố,father
状況,tình huống,situation
車,xe hơi,car
親,cha mẹ,parent
管理,sự quản lý,management
薬,thuốc,medicine
街,Thị trấn,Town
感覚,cảm xúc,feelings
ポリシー,chính sách,policy
オフィス,văn phòng,office
決定,Phán quyết,Decision
パワー,quyền lực,power
計画,kế hoạch,plan
リーダー,lãnh đạo,leader
情報,thông tin,information
選挙,lựa chọn,selection
映画,bộ phim,movie
死,cái chết,death
空気,không khí,air
コー​​ル,Điệp khúc,Chorus
コミュニティ,cộng đồng,community
外観,bên ngoài,exterior
証拠,chứng cớ,evidence
女の子,con gái,girl
医者,bác sĩ,doctor
投票,bỏ phiếu,vote
ビデオ,băng hình,video
絵,hình ảnh,picture
部屋,phòng,room
ビット,chút,bit
経済,thuộc kinh tế,economic
電話,điện thoại,phone
歴史,lịch sử,history
ソート,loại,sort
少年,con trai,boy
犯罪,tội phạm,crime
プロセス,quá trình,process
妻,vợ,wife
音楽,âm nhạc,music
水,Nước,water
サービス,dịch vụ,service
記録,ghi ,record
セキュリティ,Bảo vệ,Security
トーク,Nói chuyện,Talk
心,trái tim,heart
頭,Cái đầu,Head
候補者,ứng viên,candidate
公式,chính thức,official
カメラ,Máy ảnh,camera
学生,học sinh,student
攻撃,tấn công,attack
チャンス,cơ hội,chance
ゲーム,trò chơi,game
赤ちゃん,Đứa bé,baby
南,Phía nam,South
変更,thay đổi,change
トライアル,sự thử nghiệm,trial
ボディ,thân hình,body
市場,chợ,market
スタッフ,nhân viên,staff
関心,quan tâm,interest
武器,vũ khí,weapon
心,trái tim,heart
息子,Con trai,son
チーム,đội,team
町,thị trấn,town
テレビ,TV,tv set
意志,sẽ,will
軍隊,quân đội,army
裁判官,phán xét,judge
アクション,hoạt động,action
答え,trả lời,answer
ポジション,chức vụ,position
ビュー,Xem,View
違い,sự khác biệt,difference
食べ物,đồ ăn,food
娘,con gái,daughter
レース,loài ,race
取引,giao dịch,transaction
ストリート,Đường phố,Street
価格,giá ,price
メッセージ,tin nhắn,message
コントロール,Điều khiển,Control
ディベート,tranh luận,debate
役員,thành viên Hội đồng quản trị,board member
フィルム,bộ phim,the film
レベル,mức độ,level
努力,cố gắng,effort
関係,mối quan hệ,relationship
特派員,Phóng viên,Correspondent
地面,Đất,Ground
作品,công việc,the work
夫,chồng,husband
予算,ngân sách,budget
陪審,bồi thẩm đoàn,jury
レポーター,Phóng viên,Reporter
週末,ngày cuối tuần,weekend
問題,vấn đề,problem
年齢,tuổi,age
銃,Súng,gun
平和,hòa bình,peace
殺人,giết người,murder
役割,vai trò,role
調査,cuộc điều tra,investigation
経験,kinh nghiệm,experience
病院,bệnh viện,hospital
目,mắt ,eye
ディレクター,giám đốc,director
未来,tương lai,future
顔,khuôn mặt,face
オイル,dầu,oil
結果,kết quả,result
公共,công cộng,public
弁護士,luật sư,lawyer
世論調査,Thăm dò ý kiến,poll
第2,Số 2,No. 2
チャンス,cơ hội,chance
産業,ngành công nghiệp,industry
兄,anh trai,older brother
声明,tuyên bố,statement
火災,ngọn lửa,fire
愛,Yêu,Love
レート,tỷ lệ,rate
効果,tác dụng,effect
歌,bài hát,song
イベント,sự kiện,event
担当,người có trách nhiệm,responsible person
サポート,ủng hộ,support
ラジオ,Đài,radio
建物,xây dựng,building
銀行,Ngân hàng,Bank
犠牲者,Nạn nhân,Victim
ドア,cửa,door
インタビュー,phỏng vấn,interview
シーン,bối cảnh,scene
残り,còn lại,remaining
プレス,nhấn,press
注目,chú ý,attention
選択肢,Sự lựa chọn,Choice
スピーチ,lời nói,speech
患者,kiên nhẫn,patient
真実,sự thật,truth
道路,đường,road
言葉,từ,words
サイト,địa điểm,site
労働者,Công nhân,Worker
教授,Giáo sư,Professor
手紙,thư,letter
改革,cải cách,reform
懸念,bận tâm,concern
フォーク,cái nĩa,fork
セックス,Tình dục,Sex
調査,cuộc điều tra,investigation
